season,team,coach_name
2004,Boston University,Dennis Wolff
2004,Kansas State,Jim Wooldridge
2004,Villanova,Jay Wright
2004,Grambling,Larry Wright
2004,Wofford,Mike Young
2004,Kansas City,Rich Zvosec
2005,Northern Arizona,Mike Adras
2005,Loyola Marymount,Steve Aggers
2005,Tennessee State,Cy Alexander
2005,Iowa,Steve Alford
2005,Howard,Frankie Allen
2005,Creighton,Dana Altman
2005,Michigan,Tommy Amaker
2005,UAB,Mike Anderson Sr
2005,Jackson State,Tevester Anderson
2005,Texas A&M-Corpus Christi,Ronnie Arrow
2005,Texas,Rick Barnes
2005,Ole Miss,Rod Barnes
2005,Rhode Island,Jim Baron
2005,ETSU,Murry Bartow
2005,Morgan State,Butch Beard
2005,West Virginia,John Beilein
2005,VMI,Bart Bellairs
2005,Washington State,Dick Bennett
2005,Saint Mary's,Randy Bennett
2005,South Carolina State,Ben Betts Jr
2005,Wright State,Paul Biancardi
2005,USC,Henry Bibby
2005,UNC Asheville,Eddie Biedenbach
2005,Sacred Heart,Dave Bike
2005,Syracuse,Jim Boeheim
2005,Eastern Michigan,Jim Boone
2005,LSU,John Brady
2005,Marist,Matt Brady
2005,Cal State Northridge,Bobby Braswell
2005,California,Ben Braun
2005,Vermont,Tom Brennan
2005,Notre Dame,Mike Brey
2005,Cal Poly,Kevin Bromley
2005,Mount St. Mary's,Milan Brown
2005,Albany (NY),Will Brown
2005,UNC Wilmington,Brad Brownell
2005,Ball State,Tim Buckley
2005,Eastern Washington,Mike Burns
2005,Cal State Fullerton,Bob Burton
2005,Belmont,Rick Byrd
2005,UConn,Jim Calhoun
2005,Memphis,John Calipari
2005,Monmouth,Dave Calloway
2005,UT-Martin,Bret Campbell
2005,VCU,Jeff Capel III
2005,Northwestern,Bill Carmody
2005,Denver,Terry Carroll
2005,UTSA,Tim Carter
2005,Temple,John Chaney
2005,Kent State,Jim Christian
2005,BYU,Steve Cleveland
2005,Miami (OH),Charlie Coles
2005,Nebraska,Barry Collier
2005,Hampton,Bobby Collins
2005,UIC,Jimmy Collins
2005,Texas Southern,Ronnie Courtney
2005,Weber State,Joe Cravens
2005,Marquette,Tom Crean
2005,Army,Jim Crews
2005,Murray State,Mick Cronin
2005,Bowling Green,Dan Dakich
2005,Akron,Keith Dambrot
2005,Savannah State,Ed Daniels
2005,Texas-Rio Grande Valley,Robert Davenport
2005,Santa Clara,Dick Davey
2005,Colgate,Emmett Davis
2005,Middle Tennessee,Kermit Davis Jr
2005,Furman,Larry Davis
2005,Indiana,Mike Davis
2005,Drake,Tom Davis
2005,Penn State,Ed DeChellis
2005,Quinnipiac,Joe DeSantis
2005,Wagner,Mike Deane
2005,The Citadel,Pat Dennis
2005,Central Connecticut,Howie Dickenman
2005,Pitt,Jamie Dixon
2005,Cornell,Steve Donahue
2005,Florida,Billy Donovan
2005,TCU,Neil Dougherty
2005,UC Irvine,Pat Douglass
2005,Valparaiso,Homer Drew
2005,Baylor,Scott Drew
2005,Dartmouth,Terry Dunn
2005,Penn,Fran Dunphy
2005,Liberty,Randy Dunton
2005,Jacksonville,Hugh Durham
2005,Montana State,Mick Durham
2005,North Carolina A&T,Jerry Eaves
2005,Southern Miss,Larry Eustachy
2005,Southern Utah,Bill Evans
2005,San Francisco,Jessie Evans
2005,Arizona State,Rob Evans
2005,Northeastern,Ron Everhart
2005,Appalachian State,Houston Fancher
2005,Georgia,Dennis Felton
2005,LIU,Jim Ferry
2005,Gonzaga,Mark Few
2005,Tulane,Shawn Finney
2005,San Diego State,Steve Fisher*
2005,Bucknell,Pat Flannery
2005,Drexel,Bruiser Flint
2005,Eastern Kentucky,Travis Ford
2005,Nevada,Mark Fox
2005,Prairie View A&M,Jerry Francis
2005,Norfolk State,Dwight Freeman
2005,St. Francis (NY),Ron Ganulin
2005,Cleveland State,Mike Garland
2005,Southeast Missouri State,Gary Garner
2005,Utah,Ray Giacoletti
2005,La Salle,John Giannini
2005,Virginia,Pete Gillen
2005,Florida A&M,Mike Gillespie
2005,Longwood,Mike Gillian
2005,Texas A&M,Billy Gillispie
2005,Manhattan,Bobby Gonzalez
2005,Alabama,Mark Gottfried
2005,Boise State,Greg Graham
2005,Southern,Michael Grant
2005,Florida Atlantic,Sidney Green
2005,FDU,Tom Green
2005,Virginia Tech,Seth Greenberg
2005,Dayton,Brian Gregory
2005,Miami (FL),Frank Haith
2005,Florida State,Leonard Hamilton
2005,Rider,Don Harnum
2005,Hartford,Larry Harrison
2005,Western Michigan,Steve Hawkins
2005,Arkansas,Stan Heath
2005,Delaware,David Henderson
2005,New Mexico State,Lou Henson*
2005,East Carolina,Bill Herrion
2005,College of Charleston,Tom Herrion
2005,Georgia Tech,Paul Hewitt
2005,Missouri State,Barry Hinson
2005,George Washington,Karl Hobbs
2005,San Diego,Brad Holland
2005,Arkansas-Pine Bluff,Van Holt
2005,Portland,Michael Holton
2005,Western Kentucky,Darrin Horn
2005,UCLA,Ben Howland
2005,Cincinnati,Bob Huggins
2005,Utah Valley,Dick Hunsaker
2005,IU Indianapolis,Ron Hunter
2005,Michigan State,Tom Izzo
2005,Delaware State,Greg Jackson
2005,Sacramento State,Jerome Jenkins
2005,Marshall,Ron Jirsa
2005,Oregon State,Jay John
2005,Centenary (LA),Kevin Johnson
2005,San Jose State,Phil Johnson
